District,Side,Latitude,Longitude,PostalCode
Bang Bon,Thorn Buri,13.6665033,100.4288593,10150
Bang Kapi,Phra Nakhon,13.765833,100.647778,10240
Bang Khae,Thorn Buri,13.696111,100.409444,10160
Bang Khen,Phra Nakhon,13.873889,100.596389,10220
Bang Kho Laem,Phra Nakhon,13.693333,100.5025,10120
Bang Khun Thian,Thorn Buri,13.660833,100.435833,10150
Bang Na,Phra Nakhon,13.680081,100.5918,10260
Bang Phlat,Thorn Buri,13.793889,100.505,10700
Bang Rak,Phra Nakhon,13.730833,100.524167,10500
Bang Sue,Phra Nakhon,13.809722,100.537222,10800
Bangkok Noi,Thorn Buri,13.770867,100.467933,10700
Bangkok Yai,Thorn Buri,13.722778,100.476389,10600
Bueng Kum,Phra Nakhon,13.785278,100.669167,10240
Chatuchak,Phra Nakhon,13.828611,100.559722,10900
Chom Thong,Thorn Buri,13.677222,100.484722,10150
Din Daeng,Phra Nakhon,13.769722,100.552778,10400
Don Mueang,Phra Nakhon,13.913611,100.589722,10210
Dusit,Phra Nakhon,13.776944,100.520556,10300
Huai Khwang,Phra Nakhon,13.776667,100.579444,10310
Khan Na Yao,Phra Nakhon,13.8188814,100.6788483,10230
Khlong Sam Wa,Phra Nakhon,13.859722,100.704167,10510
Khlong San,Thorn Buri,13.730278,100.509722,10600
Khlong Toei,Phra Nakhon,13.708056,100.583889,10110
Lak Si,Phra Nakhon,13.8875,100.578889,10210
Lat Krabang,Phra Nakhon,13.722317,100.759669,10520
Lat Phrao,Phra Nakhon,13.803611,100.6075,10230
Min Buri,Phra Nakhon,13.813889,100.748056,10510
Nong Chok,Phra Nakhon,13.855556,100.8625,10530
Nong Khaem,Thorn Buri,13.704722,100.348889,10160
Pathum Wan,Phra Nakhon,13.744942,100.5222,10330
Phasi Charoen,Thorn Buri,13.714722,100.437222,10160
Phaya Thai,Phra Nakhon,13.78,100.542778,10400
Phra Khanong,Phra Nakhon,13.702222,100.601667,10260
Phra Nakhon,Phra Nakhon,13.764444,100.499167,10200
Pom Prap Sattru Phai,Phra Nakhon,13.758056,100.513056,10100
Prawet,Phra Nakhon,13.716944,100.694444,10250
Rat Burana,Thorn Buri,13.682222,100.505556,10140
Ratchathewi,Phra Nakhon,13.758889,100.534444,10400
Sai Mai,Phra Nakhon,13.919167,100.645833,10220
Samphanthawong,Phra Nakhon,13.731389,100.514167,10100
Saphan Sung,Phra Nakhon,13.77,100.684722,10240
Sathon,Phra Nakhon,13.708056,100.526389,10120
Suan Luang,Phra Nakhon,13.730278,100.651389,10250
Taling Chan,Thorn Buri,13.776944,100.456667,10170
Thawi Watthana,Thorn Buri,13.7726302,100.3535049,10170
Thon Buri,Thorn Buri,13.725,100.485833,10600
Thung Khru,Thorn Buri,13.62542025,100.4937829,10140
Wang Thonglang,Phra Nakhon,13.7542529,100.493087,10310
Watthana,Phra Nakhon,13.742222,100.585833,10110
Yan Nawa,Phra Nakhon,13.696944,100.543056,10120
